ID,Maker,Model Name,Trim,Year,Body,Engine CC,Cylinder,Engine Type,Valves,Engine Power,Engine Torque,Fuel Type,Drive,Transmission Type,Seats,Doors,Weight,LKM HWY,LKM City,Fuel Capacity,Country
,,,,,,,,,,,,,,,,,,,,,
1,Acura,ILX,5AT,2013,Sedan,2354,4,in-line,8,201,230,Gasoline,FWD,5-speed Automatic,5,4,1347,5.6,8.6,70,Japan
,,,,,,,,,,,,,,,,,,,,,
2,Acura,ILX,6MT,2013,Sedan,1997,4,in-line,8,150,233,Gasoline,FWD,6-speed Manual,5,4,1347,6.5,9.8,70,Japan
,,,,,,,,,,,,,,,,,,,,,
3,Acura,ILX, Hybrid,2013,Sedan,1500,4,in-line,8,111,172,Gasoline,FWD,CVT ,5,4,1356,4.8,5,50,Japan
,,,,,,,,,,,,,,,,,,,,,
4,Acura,ILX,4dr Sedan w/Premium Package (2.4L 4cyl 6M),2014,Sedan,2400,4,Inline,4,201,170,Gasoline,FWD,Manual,,4,1351,31,22,50,Japan
,,,,,,,,,,,,,,,,,,,,,
5,Acura,ILX,4dr Sedan (2.0L 4cyl 5A),2015,Sedan,2000,4,Inline,4,150,140,Gasoline,FWD,Automatic,,4,2955,35,24,13,Japan
,,,,,,,,,,,,,,,,,,,,,
6,Acura,ILX,4dr Sedan,2016,Fullsize Sedan,,,Not Available,,,,Gasoline,FWD,Unknown,,4,,,,,Japan
,,,,,,,,,,,,,,,,,,,,,
7,Acura,ILX Hybrid,4dr Sedan (1.5L 4cyl gas/electric hybrid CVT),2014,Subcompact Sedan,1500,4,Inline,4,111,127,Gasoline,FWD,Automatic,,4,1342,38,39,50,Japan
,,,,,,,,,,,,,,,,,,,,,
8,Acura,MDX,AWD,2013,SUV,3700,6,V,4,304,366,Gasoline,AWD,6-speed Automatic,7,5,2069,8.7,12.3,79,Japan
,,,,,,,,,,,,,,,,,,,,,
9,Acura,MDX,Base,2013,SUV,3700,6,V,4,304,366,Gasoline,FWD,6-speed Automatic,7,5,2069,9.6,13.2,79,Japan
,,,,,,,,,,,,,,,,,,,,,
10,Acura,MDX,"4dr SUV w/Advance, Entertainment Packages (3.5L 6cyl 6A)",2014,SUV,3500,6,V,4,290,267,Gasoline,FWD,Automatic,,4,1861,28,20,74,Japan
,,,,,,,,,,,,,,,,,,,,,
11,Acura,MDX,SH-AWD 4dr SUV AWD (3.5L 6cyl 6A),2015,SUV,3500,6,V,4,290,267,Gasoline,AWD,Automatic,,4,4255,27,18,20,Japan
,,,,,,,,,,,,,,,,,,,,,
12,Acura,MDX,4dr SUV (3.5L 6cyl 6A),2015,SUV,3500,6,V,4,290,267,Gasoline,FWD,Automatic,,4,4025,28,20,20,Japan
,,,,,,,,,,,,,,,,,,,,,
13,Acura,NSX,2dr Coupe AWD (3.5L 6cyl gas/electric hybrid 7A),2015,Two Seaters,3500,6,V,4,,,Gasoline,AWD,Automatic,,2,,,,,Japan
,,,,,,,,,,,,,,,,,,,,,
14,Acura,RDX,SH-AWD,2012,SUV,2300,4,in-line,4,243,352,Gasoline,AWD,5-speed Automatic,5,5,1783,10.7,13.8,68,Japan
,,,,,,,,,,,,,,,,,,,,,
15,Acura,RDX,,2013,SUV,2300,4,V,4,243,340,Gasoline,AWD,6-speed Automatic,5,5,1749,7.3,10.7,60,Japan
,,,,,,,,,,,,,,,,,,,,,
16,Acura,RDX,4dr SUV AWD (3.5L 6cyl 6A),2015,SUV,3500,6,V,4,273,251,Gasoline,AWD,Automatic,,4,3838,27,19,16,Japan
,,,,,,,,,,,,,,,,,,,,,
17,Acura,RDX,4dr SUV (3.5L 6cyl 6A),2015,SUV,3500,6,V,4,273,251,Gasoline,FWD,Automatic,,4,3717,28,20,16,Japan
,,,,,,,,,,,,,,,,,,,,,
18,Acura,RL,,2012,Sedan,3700,6,V,4,304,367,Gasoline,AWD,6-speed Automatic,5,4,1852,9.8,13.8,73,Japan
,,,,,,,,,,,,,,,,,,,,,
19,Acura,RLX,Advance Package 4dr Sedan (3.5L 6cyl 6A),2015,Midsize Seden,3500,6,V,4,310,272,Gasoline,FWD,Automatic,,4,3997,31,20,19,Japan
,,,,,,,,,,,,,,,,,,,,,
20,Acura,TL,,2012,Sedan,3500,6,V,4,284,344,Gasoline,FWD,6-speed Automatic,5,4,1690,8.1,11.8,70,Japan
,,,,,,,,,,,,,,,,,,,,,
21,Acura,TL,Base,2013,Sedan,3500,6,V,4,283,343,Gasoline,AWD,6-speed Automatic,5,4,1690,8.1,11.8,70,Japan
,,,,,,,,,,,,,,,,,,,,,
22,Acura,TL, SH-AWD AT,2013,Sedan,3700,6,V,4,309,370,Gasoline,AWD,6-speed Automatic,5,4,1800,9,13.1,70,Japan
,,,,,,,,,,,,,,,,,,,,,
23,Acura,TL, SH-AWD MT,2013,Sedan,3700,6,V,4,309,370,Gasoline,AWD,6-speed Manual,5,4,1800,9.4,13.8,70,Japan
,,,,,,,,,,,,,,,,,,,,,
24,Acura,TL,SH-AWD 4dr Sedan AWD (3.7L 6cyl 6A),2014,Midsize Seden,3700,6,V,4,305,273,Gasoline,AWD,Automatic,,4,1800,26,18,70,Japan
,,,,,,,,,,,,,,,,,,,,,
25,Acura,TL,4dr Sedan (3.5L 6cyl 6A),2014,Midsize Seden,3500,6,V,4,280,254,Gasoline,FWD,Automatic,,4,1690,29,20,70,Japan
,,,,,,,,,,,,,,,,,,,,,
26,Acura,TLX,4dr Sedan (2.4L 4cyl 8AM),2015,Midsize Seden,2400,4,Inline,4,206,182,Gasoline,FWD,Automatic,,4,3483,35,24,17,Japan
,,,,,,,,,,,,,,,,,,,,,
27,Acura,TLX,SH-AWD w/Advance Package 4dr Sedan AWD (3.5L 6cyl 9A),2015,Midsize Seden,3500,6,V,4,290,267,Gasoline,AWD,Automatic,,4,3774,31,21,17,Japan
,,,,,,,,,,,,,,,,,,,,,
